id,text,lat,lon,sector,method
6254,Little King Street,55.955082,-3.18831,New Town,exact
6255,Park Terrace,55.9341,-3.0886,Portobello/Craigmillar,exact
6258,Forrest Road,55.9458,-3.1911,Old Town,exact
6260,Gilmore Place,55.9413,-3.208,South West,nearest(0.000617)
6299,Canon Gate,55.9515,-3.1793,Canongate,exact
6301,Queen Mary's Room,55.948067,-3.19924,Old Town,exact
6309,Tollbooth,55.949616,-3.191541,Old Town,exact
6310,Rosslyn Castle,55.8525274,-3.1599823,Liberton/Gilmerton,nearest(0.036627)
6385,Star and Garter Hotel,55.976629,-3.59634,Outer Scotland,outside
6420,Riding School,55.944614,-3.183666,South Central,exact
6577,Crown Hotel,55.986065,-2.656202,Outer Scotland,outside
6641,London Road,55.957233,-3.177725,Leith,nearest(0.000599)
6650,The Peel,55.978749,-3.598511,Outer Scotland,outside
6724,Moss Cottage,55.95355,-3.109884,Portobello/Craigmillar,exact
6739,Royal Crescent,55.9598,-3.1964,Inverleith,exact
6745,Victoria Street,55.9487,-3.1932,Old Town,exact
6775,Northumberland Street,55.9568,-3.1994,New Town,exact
6911,Bothwell Castle,55.957386,-2.77515,Outer Scotland,outside
6915,Duke Street,55.9699,-3.1694,Leith,exact
6956,Dreadnought Hotel,55.900528,-3.642668,Outer Scotland,outside
6985,Slateford,55.9311484,-3.2398501,South West,exact
6986,Cockburn Street,55.9506,-3.1898,Old Town,exact
6987,Tron Church,55.949965,-3.187833,Old Town,exact
6989,Lady Stair's Close,55.9499,-3.1938,Old Town,exact
6991,Ramsay Lane,55.9493,-3.196,Old Town,exact
6997,College Wynd,55.9485,-3.1882,Old Town,exact
6999,Regent Road,55.9536,-3.1787,Canongate,nearest(0.000382)
7002,Waterloo Place,55.9534,-3.1887,New Town,exact
7003,Hope Street,55.9507,-3.2082,New Town,nearest(0.000114)
7004,Frederick Street,55.954238,-3.201257,New Town,exact
7013,Dalhousie Castle,55.866645,-3.078257,Liberton/Gilmerton,nearest(0.035658)
7015,Borthwick Castle,55.826695,-3.007361,Liberton/Gilmerton,nearest(0.111186)
7016,Crichton,55.833146,-2.951009,Liberton/Gilmerton,nearest(0.155000)
7116,Bathgate,55.901341,-3.635633,Outer Scotland,outside
7123,Waverley Market,55.952631,-3.190958,New Town,exact
7125,Waverley Bridge,55.951727,-3.191506,New Town,exact
7128,Liberton Brae,55.9157,-3.1666,Liberton/Gilmerton,exact
7129,Duddingston Loch,55.9410761,-3.1502924,Craigentinny/Duddingston,exact
7130,Dalkeith Road,55.9391,-3.1749,South Central,exact
7131,The Doocot,55.966644,-3.251178,Inverleith,exact
7140,Liberton Road,55.9205,-3.1675,Liberton/Gilmerton,exact
7203,Victoria Dock,55.9796581,-3.1745847,Leith,exact
7204,Douglas Hotel,55.954635,-3.191852,New Town,exact
7211,Old Bridge,55.941361,-3.057245,Portobello/Craigmillar,nearest(0.018246)
7255,Arthur's Seat,55.942952,-3.160079,Craigentinny/Duddingston,exact
7258,North Castle Street,55.9532,-3.2039,New Town,exact
7259,Chester Street,55.9497,-3.2166,Inverleith,nearest(0.001506)
7260,Manor Place,55.949,-3.2158,Inverleith,nearest(0.002273)
7266,British Linen Bank,55.954234,-3.191439,New Town,exact
7278,Star Hotel,55.898883,-3.699634,Outer Scotland,outside
7281,Longstone,55.9240629,-3.2620446,South West,exact
7360,Clifton Villa,55.974069,-3.176073,Leith,exact
7366,Ashley Place,55.9698,-3.1849,Leith,exact
7418,Parliament Square,55.949127,-3.19085,Old Town,exact
7449,Palace Yard,55.948107,-3.199738,Old Town,exact
7452,Bank Street,55.9495,-3.1927,Old Town,exact
7454,Trinity,55.9758345,-3.2053897,Forth,exact
7455,Queensberry House,55.9521569,-3.1757733,Canongate,exact
7457,Duke's Walk,55.9539,-3.1591,Craigentinny/Duddingston,exact
7462,Dalhousie Castle,55.862379,-3.09132,Liberton/Gilmerton,nearest(0.037249)
7526,Dominican Convent,55.937316,-3.185685,South Central,exact
